EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
200.0	200.0	0.000307581	0.510946	0.570563907694	0.615318052178	78145
200.0	200.0	0.000184422	0.509705	0.671348272968	0.861629829065	79345
198.333333333	198.333333333	0.000545547	0.509881	0.816477506301	0.838677819676	80535
200.0	200.0	4.98847e-05	0.508977	0.755618277205	0.817584690641	81735
189.333333333	189.333333333	0.000130951	0.503443	0.57006159297	0.771640460695	82871
200.0	200.0	1.88924e-05	0.501462	0.606458532232	0.656434990822	84071
170.142857143	170.142857143	0.000355264	0.502626	0.707670196529	0.861065729339	85262
199.166666667	199.166666667	0.000110973	0.504296	0.775299332815	0.827774594594	86457
197.0	197.0	6.66644e-05	0.520339	0.911727220077	0.959082677189	87639
194.833333333	194.833333333	0.000141477	0.518165	0.873155941442	0.893409249023	88808
191.333333333	191.333333333	9.74094e-05	0.509146	0.769586776392	0.827419087795	89956
198.5	198.5	6.90516e-05	0.514666	0.533346229371	0.560671020911	91147
200.0	200.0	0.000176166	0.506382	0.663775178803	0.765654771942	92347
193.666666667	193.666666667	8.04536e-05	0.516383	0.805440710847	0.915158180464	93509
200.0	200.0	6.51244e-05	0.506867	0.680531509561	0.761221996584	94709
200.0	200.0	7.23219e-05	0.503771	0.624743226466	0.72177812454	95909
200.0	200.0	5.0633e-05	0.510931	-0.541427341175	0.287320787456	97109
200.0	200.0	0.000126247	0.504368	0.275728615147	0.486786306209	98309
200.0	200.0	0.00018759	0.507384	0.236377376555	0.323369277845	99509
200.0	200.0	8.27062e-05	0.503915	-0.814709049321	0.411999389538	100709
200.0	200.0	0.000126165	0.516517	-1.23057776652	0.472268210151	101909
200.0	200.0	0.000104247	0.517126	0.388456098189	0.472005095689	103109
198.333333333	198.333333333	0.000137973	0.509424	-0.828396713697	0.254829112949	104299
183.166666667	183.166666667	0.000344424	0.505389	0.272976588441	0.54690959619	105398
200.0	200.0	0.000412044	0.504114	0.142330492928	0.53605531147	106598
200.0	200.0	0.000328511	0.50571	-3.43470575143	0.468538208918	107798
200.0	200.0	0.000375859	0.494567	0.108279268288	0.420076521582	108998
200.0	200.0	0.000367063	0.506052	0.150642454888	0.302709271667	110198
200.0	200.0	0.000176004	0.499457	-1.31089816744	0.280816340061	111398
200.0	200.0	0.000140361	0.503698	0.274256854311	0.597936401836	112598
