EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
22.9545454545	22.9545454545	0.00298919	0.690414	0.00257378811122	0.000826727949692	1010
26.358974359	26.358974359	0.00255795	0.682821	-0.000106720034941	-0.00110530257233	2038
30.3939393939	30.3939393939	0.00214932	0.676651	0.000328466277926	-0.000192761344113	3041
29.8823529412	29.8823529412	0.00212571	0.665758	-0.000378008236283	-0.00145101477062	4057
33.6333333333	33.6333333333	0.00208847	0.650419	-0.000721401374659	-0.00139105348065	5066
38.6923076923	38.6923076923	0.00168875	0.641336	-0.00206673471389	-0.00339564619823	6072
53.6315789474	53.6315789474	0.00140013	0.636307	-0.00175511800815	-0.00308487044966	7091
60.8235294118	60.8235294118	0.0010354	0.623261	-0.00199707820521	-0.00369358682839	8125
48.8571428571	48.8571428571	0.00104191	0.612471	-0.00446538263829	-0.0064509879887	9151
70.4666666667	70.4666666667	0.000723628	0.616687	-0.00501238526122	-0.00726113484746	10208
59.8421052632	59.8421052632	0.000765253	0.59699	-0.0206816450241	-0.0298860740581	11345
64.875	64.875	0.000517951	0.604938	-0.0273520155064	-0.0357602869106	12383
74.5	74.5	0.000498482	0.595543	-0.0446829249298	-0.0615308945688	13426
92.9166666667	92.9166666667	0.000487125	0.590345	0.00369664206798	0.00631391163066	14541
78.7857142857	78.7857142857	0.000575871	0.574669	-0.0420102977164	-0.0540775556862	15644
86.25	86.25	0.000593655	0.573405	-0.0542948178033	-0.0655628092185	16679
87.5	87.5	0.000964436	0.573324	-0.157187683654	-0.170295092762	17729
93.6363636364	93.6363636364	0.00143295	0.568676	-0.359572709183	-0.325549437852	18759
147.285714286	147.285714286	0.000923881	0.563903	-0.0665787217886	-0.0659167735356	19790
119.111111111	119.111111111	0.00113909	0.547443	-0.127355748422	-0.126873476403	20862
152.428571429	152.428571429	0.000789989	0.565094	-0.042035334491	-0.033522182865	21929
112.666666667	112.666666667	0.000684582	0.554627	-0.0648802277213	-0.0481025059963	22943
177.833333333	177.833333333	0.00107885	0.548712	-0.126213596916	-0.0765771951838	24010
188.5	188.5	0.000865486	0.558972	-0.0102593286211	0.039001772776	25141
169.0	169.0	0.00127348	0.552003	-0.0554042328747	-0.0125891058548	26155
167.833333333	167.833333333	0.00133727	0.551999	0.0523500952422	0.0802183715352	27162
167.166666667	167.166666667	0.000163756	0.558228	0.0406610769201	0.0831464928515	28165
157.142857143	157.142857143	0.000713647	0.556336	0.0318936528285	0.0585721989701	29265
152.571428571	152.571428571	0.000183879	0.548106	0.0481197271548	0.0778750670976	30333
176.0	176.0	0.000303259	0.547814	0.0686451937472	0.0814252480527	31389
152.714285714	152.714285714	0.000218319	0.547757	0.108861820669	0.13578608073	32458
172.333333333	172.333333333	0.000207194	0.543971	0.0401374640281	0.0638447371496	33492
184.5	184.5	9.52331e-05	0.558221	0.0536067407513	0.0591103344292	34599
181.833333333	181.833333333	5.20764e-05	0.549728	0.108441514788	0.115325142119	35690
172.333333333	172.333333333	8.31414e-05	0.544364	0.0993092156642	0.115605348878	36724
177.666666667	177.666666667	0.000194235	0.542044	0.169514084175	0.182619121644	37790
188.666666667	188.666666667	0.000161432	0.530464	0.119889059627	0.141657664574	38922
178.333333333	178.333333333	0.000127043	0.532446	0.0749763291792	0.0938295783952	39992
172.666666667	172.666666667	0.00012933	0.537057	0.259523199244	0.27496693758	41028
200.0	200.0	6.65335e-05	0.544641	0.153230914263	0.166647948862	42228
199.666666667	199.666666667	0.000107294	0.536119	0.192453481091	0.204425419588	43426
177.5	177.5	0.000137262	0.532862	0.154395861782	0.163693735537	44491
197.833333333	197.833333333	9.87975e-05	0.535882	0.259620463065	0.274530788051	45678
200.0	200.0	8.31181e-05	0.526187	0.249552233139	0.267661439192	46878
200.0	200.0	8.07073e-05	0.541833	0.338921976989	0.360150926798	48078
199.833333333	199.833333333	5.12719e-05	0.525634	0.309617713642	0.332052743976	49277
200.0	200.0	1.44094e-05	0.525072	0.451817430238	0.477517164115	50477
200.0	200.0	8.17309e-05	0.525038	0.476893386601	0.498299695817	51677
190.833333333	190.833333333	0.000197847	0.524864	0.549693490027	0.564199674814	52822
200.0	200.0	8.35427e-05	0.527497	0.299591873635	0.30193561091	54022
200.0	200.0	4.96209e-05	0.533757	0.641412864174	0.649454624415	55222
197.166666667	197.166666667	0.00028141	0.530812	0.373867093993	0.373234108669	56405
